no,nama_provinsi,siswa_putra_sekolah_negeri,siswa_putri_sekolah_negeri,siswa_putra_sekolah_swasta,siswa_putri_sekolah_swasta,total
1,Prov. D.K.I. Jakarta,33557,46660,39756,36115,156088
2,Prov. Jawa Barat,175879,258938,103957,109628,648402
3,Prov. Jawa Tengah,104070,190075,44919,53242,392306
4,Prov. D.I. Yogyakarta,13430,22809,7651,7058,50948
5,Prov. Jawa Timur,132371,185042,93386,102374,513173
6,Prov. Aceh,56396,66489,6140,7675,136700
7,Prov. Sumatera Utara,99919,130884,61944,70573,363320
8,Prov. Sumatera Barat,51427,75224,8411,7052,142114
9,Prov. Riau,54334,69324,11222,12036,146916
10,Prov. Jambi,30374,35822,4380,4541,75117
11,Prov. Sumatera Selatan,66736,84955,25982,24483,202156
12,Prov. Lampung,46475,63210,19774,20569,150028
13,Prov. Kalimantan Barat,38147,45491,15954,17052,116644
14,Prov. Kalimantan Tengah,23240,25188,3272,3707,55407
15,Prov. Kalimantan Selatan,24846,29422,3866,4212,62346
16,Prov. Kalimantan Timur,25768,33049,5552,6015,70384
17,Prov. Sulawesi Utara,19385,21517,7647,7182,55731
18,Prov. Sulawesi Tengah,28993,34310,3104,3384,69791
19,Prov. Sulawesi Selatan,83605,113049,19813,17073,233540
20,Prov. Sulawesi Tenggara,37758,43125,4218,2870,87971
21,Prov. Maluku,26806,28809,6435,6292,68342
22,Prov. Bali,29980,30506,13202,11241,84929
23,Prov. Nusa Tenggara Barat,40039,45543,10401,8991,104974
24,Prov. Nusa Tenggara Timur,52784,67744,26881,29399,176808
25,Prov. Papua,21212,19228,10827,8800,60067
26,Prov. Bengkulu,19749,25217,2144,1570,48680
27,Prov. Maluku Utara,14779,15787,3223,3200,36989
28,Prov. Banten,48979,64994,33675,33405,181053
29,Prov. Kepulauan Bangka Belitung,8795,11546,2102,2092,24535
30,Prov. Gorontalo,10403,13903,583,620,25509
31,Prov. Kepulauan Riau,14739,18084,2922,3295,39040
32,Prov. Papua Barat,8930,9493,3887,3475,25785
33,Prov. Sulawesi Barat,11075,14114,885,820,26894
34,Prov. Kalimantan Utara,6024,7076,1566,1437,16103
35,Tidak Mengisi,1548,1733,1584,1993,6858